baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000162692,821.504160302751,3.67041303423303,0.237186118224439,15.474822311312,5.13147625130725e-54,1.47683886512623e-50,Up-regulated
ENSG00000138316,1113.19768900394,2.69729130789693,0.230131205597673,11.7206673510088,9.98820479548138e-32,1.56796654916702e-28,Up-regulated
ENSG00000178695,4633.89449979915,2.50200805920996,0.267234588239627,9.36259065748793,7.7805116275027e-21,4.63289223392126e-18,Up-regulated
ENSG00000099194,3107.06500655139,2.38822160365249,0.2568179675839,9.29927771845747,1.41402969497321e-20,7.63045774149921e-18,Up-regulated
ENSG00000148848,2367.43274901024,1.94415383193526,0.210683668116035,9.2278336015325,2.76160615927138e-20,1.4450731866151e-17,Up-regulated
ENSG00000125848,271.233594452041,2.6706867765994,0.295682597592374,9.03227581990196,1.68138003028089e-19,8.06501954524732e-17,Up-regulated
ENSG00000183508,171.872267418705,3.14242772134432,0.354902596035664,8.85433850427103,8.41815513635344e-19,3.82538691827766e-16,Up-regulated
ENSG00000112837,4312.57885505073,1.81505735243956,0.218116369860198,8.32150908069357,8.68503625667352e-17,3.26028708870083e-14,Up-regulated
ENSG00000196517,321.972599600692,2.28383982864373,0.275629857733272,8.28589416047159,1.17224997758622e-16,4.30689630062954e-14,Up-regulated
ENSG00000146006,105.458505603634,5.16218054985971,0.624226590315245,8.26972229307424,1.34271403064558e-16,4.83041372524748e-14,Up-regulated
ENSG00000154864,322.60573275965,2.63077729839838,0.334131561106258,7.87347741018025,3.44917384929332e-15,1.12377988735089e-12,Up-regulated
ENSG00000124766,2206.55569588973,2.49327288326702,0.322453414989216,7.73219562072371,1.05707339406676e-14,3.3188260670445e-12,Up-regulated
ENSG00000276600,550.577870094627,1.7717025204318,0.230756201049109,7.6778110940332,1.61829891705345e-14,4.90259398239982e-12,Up-regulated
ENSG00000183160,5408.19845801715,1.34273730219331,0.176609491769316,7.6028603487924,2.89656016370164e-14,8.47759337403389e-12,Up-regulated
ENSG00000108821,96165.822858373,1.25505041455514,0.16862762072797,7.44273333832891,9.86230423616218e-14,2.74681079919433e-11,Up-regulated
ENSG00000131389,1367.4796643385,2.15906999892196,0.298937093015642,7.22248944465713,5.10443678495277e-13,1.27744078844296e-10,Up-regulated
ENSG00000128342,227.223908829595,2.74084090367208,0.386330616272587,7.09454748918526,1.29775407550596e-12,3.11244685775512e-10,Up-regulated
ENSG00000108830,338.793226033066,2.74900396275329,0.388674750811954,7.0727618838387,1.5187998186214e-12,3.49688470239392e-10,Up-regulated
ENSG00000143320,2522.12875692308,1.73968737955597,0.249541136725848,6.97154546293197,3.13477980691818e-12,6.9399202187004e-10,Up-regulated
ENSG00000147883,1020.9619397093,1.65321039016915,0.237287577795931,6.96711730772071,3.23500922280015e-12,7.07115686826746e-10,Up-regulated
ENSG00000116991,237.095613443322,3.01362913056342,0.436385531021059,6.90588691955965,4.98907288878988e-12,1.06359642769906e-09,Up-regulated
ENSG00000172986,1178.65777733155,1.70861344017979,0.250474620406633,6.82150326211069,9.00927232077049e-12,1.87436282451885e-09,Up-regulated
ENSG00000177614,228.585970583498,2.61587475334971,0.38623091172232,6.77282598040829,1.26290826032342e-11,2.59617855229344e-09,Up-regulated
ENSG00000126950,1379.22901116077,1.39028924735347,0.207481377400359,6.70079052285617,2.07295024928195e-11,4.11444883960928e-09,Up-regulated
ENSG00000128165,129.53723529591,2.75213288424015,0.414973325682977,6.63207178367574,3.31007522745371e-11,6.35093100307453e-09,Up-regulated
ENSG00000128606,2192.38904382217,2.29837709220491,0.351865798262267,6.53197072166642,6.49098469820913e-11,1.17985603967027e-08,Up-regulated
ENSG00000145777,144.516014826057,2.48040602387968,0.385545327950527,6.4335004059444,1.24698261668968e-10,2.21988616752551e-08,Up-regulated
ENSG00000227051,8179.44974592044,1.12058747336292,0.174665564704724,6.41561761333607,1.40253085142662e-10,2.44635381236716e-08,Up-regulated
ENSG00000171617,1446.55189965483,1.75441060196864,0.274305141031963,6.39583565721143,1.5967166809601e-10,2.7572103646819e-08,Up-regulated
ENSG00000134013,3397.10964446888,1.1352467689274,0.178944063610616,6.3441432256602,2.2366667355104e-10,3.78654521458761e-08,Up-regulated
ENSG00000119714,106.622917703141,3.48905857501627,0.558611442040956,6.24594899500906,4.21234628455355e-10,6.86215053223308e-08,Up-regulated
ENSG00000214814,227.704376884923,2.79310266048704,0.44812905055509,6.23280873450911,4.58145416958772e-10,7.26127293808789e-08,Up-regulated
ENSG00000172156,319.745946072316,2.03187559236868,0.334183156362963,6.08012568461656,1.20088379381487e-09,1.77238131210215e-07,Up-regulated
ENSG00000125965,558.632972261534,1.65874390923356,0.272990345042179,6.07619990727978,1.23063978386767e-09,1.8009057447311e-07,Up-regulated
ENSG00000049759,1493.99214469192,1.38842636604498,0.232781486438523,5.96450511287401,2.45376586405481e-09,3.31028351097644e-07,Up-regulated
ENSG00000103485,1618.75256621314,1.1757770901944,0.198902669824532,5.91131879341613,3.39379477128851e-09,4.40631940681279e-07,Up-regulated
ENSG00000106976,1441.28413834268,1.70617294951979,0.291278277518734,5.8575358384219,4.69785460840029e-09,6.00907802798935e-07,Up-regulated
ENSG00000103647,861.721718065075,1.29149647705413,0.2221410855672,5.81385687279106,6.10496177434432e-09,7.69492554156041e-07,Up-regulated
ENSG00000140105,4097.79332880888,1.17928468197539,0.203633646188246,5.79120741611244,6.98822114367699e-09,8.6814822092816e-07,Up-regulated
ENSG00000013297,5076.5843712981,1.48032870073679,0.255774531743383,5.78763135894232,7.13858592732721e-09,8.80493584236331e-07,Up-regulated
ENSG00000166482,44292.7874464635,1.00977849763901,0.174574828789676,5.78421588404116,7.28513359319078e-09,8.92196360902259e-07,Up-regulated
ENSG00000126861,557.689411364561,1.41976319542058,0.245652389774531,5.77956191154374,7.4895389966855e-09,9.10770136582854e-07,Up-regulated
ENSG00000120738,918.196605907266,1.56542034209766,0.271004479766127,5.77636334074107,7.63324453322171e-09,9.15353240275504e-07,Up-regulated
ENSG00000136999,687.900790857633,2.45796840306253,0.425480939958344,5.7769177705191,7.60814443588618e-09,9.15353240275504e-07,Up-regulated
ENSG00000127824,372.087640564492,1.73404468447593,0.301297093908025,5.75526521674741,8.65058734611163e-09,1.00931312359902e-06,Up-regulated
ENSG00000143344,1642.53549092313,1.30394167783735,0.227301744562224,5.73661095452084,9.65897812716881e-09,1.11194156199967e-06,Up-regulated
ENSG00000016391,148.562269494361,2.25346571497515,0.39298082378852,5.73428925424575,9.79220953067352e-09,1.11981373626272e-06,Up-regulated
ENSG00000135069,1377.82735765246,1.18445750185169,0.206637549610367,5.73205355989313,9.92219280487771e-09,1.1272133247015e-06,Up-regulated
ENSG00000144369,2149.14141136411,1.17016588986121,0.204287499732854,5.72803471280147,1.01600779736422e-08,1.14669429051539e-06,Up-regulated
ENSG00000113580,4901.83679930855,1.07255710704627,0.187833424732047,5.71015040893984,1.12876372056859e-08,1.26568129394665e-06,Up-regulated
ENSG00000152580,12221.0369958486,1.28204436041959,0.226336816724521,5.66432089561457,1.47607946735293e-08,1.61322406596522e-06,Up-regulated
ENSG00000134253,242.095880534284,1.84947067333635,0.328953922718819,5.62227882267034,1.88454770051455e-08,1.97226482984759e-06,Up-regulated
ENSG00000064309,526.098904319817,1.78151474685464,0.317130186984409,5.61761327042077,1.93613247472764e-08,2.01404431166246e-06,Up-regulated
ENSG00000112773,953.788723120348,1.26516964548861,0.226245697578811,5.59201637435735,2.24447647015292e-08,2.32081555009585e-06,Up-regulated
ENSG00000164484,1503.69382648006,1.15573528861739,0.208928031834419,5.53173874501124,3.17071920149021e-08,3.20187012697854e-06,Up-regulated
ENSG00000149256,1125.86366441123,1.85629142275824,0.336212115242949,5.52119135093294,3.36708852342234e-08,3.34154509324465e-06,Up-regulated
ENSG00000100784,155.413799745685,2.13440781631859,0.386582471513,5.52122243919901,3.36649275201141e-08,3.34154509324465e-06,Up-regulated
ENSG00000167552,10292.449848435,1.38038443172808,0.250248991295156,5.51604393921405,3.46715608389198e-08,3.42119150037981e-06,Up-regulated
ENSG00000092621,1614.55335676189,1.28520954071897,0.234119469293497,5.48954576309844,4.02968704858306e-08,3.93133536468544e-06,Up-regulated
ENSG00000163491,247.32007028162,2.01890208783768,0.368146692067214,5.48396096268352,4.15906586701068e-08,4.03476120177193e-06,Up-regulated
ENSG00000074047,560.85253400824,1.23328451436493,0.22545726966339,5.47014747497936,4.49661259541406e-08,4.31375034986722e-06,Up-regulated
ENSG00000183876,329.749344634177,1.6242576573485,0.297706133866898,5.45590927620823,4.87228665957035e-08,4.64832298549507e-06,Up-regulated
ENSG00000127863,2114.81490726467,1.07722846898623,0.198669961730189,5.42220101924213,5.8869625856058e-08,5.51015469225648e-06,Up-regulated
ENSG00000182010,212.423468889681,1.69901710819927,0.31494772693992,5.39460031893919,6.86762489431304e-08,6.34171907352928e-06,Up-regulated
ENSG00000111728,393.744762611595,1.47104217598106,0.274080006900839,5.36719986479453,7.99684259643941e-08,7.26786726080609e-06,Up-regulated
ENSG00000116584,3118.13533060553,1.02175296620761,0.193783171517438,5.27266097570123,1.34459809488695e-07,1.1786050711933e-05,Up-regulated
ENSG00000277443,9540.86894426954,1.10437009257978,0.210942641776161,5.23540467342622,1.64623773433456e-07,1.4285041807281e-05,Up-regulated
ENSG00000025423,382.673184947616,2.27218219098162,0.435711814815394,5.21487394585415,1.83942276835474e-07,1.58025633651491e-05,Up-regulated
ENSG00000176771,185.432011005561,2.20223554512843,0.425525992018685,5.17532556514605,2.27513905239455e-07,1.90714083285189e-05,Up-regulated
ENSG00000123243,29388.2449954949,1.01538527668819,0.196454477373191,5.16855248231033,2.35914043289626e-07,1.96800178721027e-05,Up-regulated
ENSG00000181467,1132.54046842172,1.16667349541339,0.226541529486207,5.14993210321919,2.60580773351754e-07,2.16332153569139e-05,Up-regulated
ENSG00000226549,67.1997251496694,2.82872311379783,0.552038474486834,5.12414124111072,2.98896871055588e-07,2.44613799497057e-05,Up-regulated
ENSG00000185745,542.569094972149,1.49336134654434,0.293953865692372,5.08025755343246,3.7692349888655e-07,2.99940782431933e-05,Up-regulated
ENSG00000116711,120.579940592617,2.0339011043827,0.400919288108246,5.07309367423989,3.91399702263378e-07,3.08615984414795e-05,Up-regulated
ENSG00000013293,333.893655530247,2.58910394230439,0.510536241288606,5.07134211622162,3.95019908030327e-07,3.10054716903077e-05,Up-regulated
ENSG00000205978,3136.81709223623,1.26762834472196,0.250412287588897,5.06216510750075,4.14521790571416e-07,3.23889695908924e-05,Up-regulated
ENSG00000131771,107.581241822953,2.41013351781659,0.477404958036366,5.04840487566323,4.45514203603036e-07,3.40404392381293e-05,Up-regulated
ENSG00000215386,368.276163674245,1.29699368491555,0.260133738400968,4.98587262416679,6.16827737266299e-07,4.55187237910874e-05,Up-regulated
ENSG00000100626,818.220631301351,1.03551356925522,0.208005195368658,4.97830627460979,6.41431001166362e-07,4.71328958644287e-05,Up-regulated
ENSG00000188176,116.789470634611,2.97174744109176,0.597966409480324,4.96975648460659,6.70370405927874e-07,4.90506617354345e-05,Up-regulated
ENSG00000101265,3178.65472954074,1.18867830842767,0.240061027849594,4.95156718720881,7.3618193708353e-07,5.31899150190728e-05,Up-regulated
ENSG00000137809,2297.77698338876,1.43786571093488,0.290976846787233,4.94151244956706,7.75188655711347e-07,5.55433929743715e-05,Up-regulated
ENSG00000134363,4263.8289165156,2.09475767072622,0.424719183346768,4.93210043921169,8.1350065360296e-07,5.75718413377702e-05,Up-regulated
ENSG00000168398,8932.00664189559,1.87465952997493,0.382799870434356,4.89723135968617,9.71963769630605e-07,6.74051019035393e-05,Up-regulated
ENSG00000146250,572.166252981317,2.62668626263703,0.53651040819542,4.89587195795889,9.78707792402107e-07,6.76013046367983e-05,Up-regulated
ENSG00000146592,1156.65528372684,1.8629415142949,0.382302437269025,4.87295223018406,1.0994281420078e-06,7.41598638913698e-05,Up-regulated
ENSG00000137501,1101.19894244779,1.08044142893704,0.221698972084493,4.87346160777535,1.09659586522285e-06,7.41598638913698e-05,Up-regulated
ENSG00000170989,419.828741493035,1.50473135023197,0.310120957723541,4.85207888327681,1.2217400678527e-06,7.87201772077625e-05,Up-regulated
ENSG00000196230,16036.0474406032,1.33651477975516,0.275323076813675,4.85435073304678,1.20781805223149e-06,7.87201772077625e-05,Up-regulated
ENSG00000139289,3919.89448988398,1.05779793133075,0.217971924603982,4.8529090764904,1.2166347938551e-06,7.87201772077625e-05,Up-regulated
ENSG00000122966,393.675929500745,1.2953767188853,0.269786539953967,4.80148757275411,1.57491284319262e-06,0.000100724425837964,Up-regulated
ENSG00000165272,136.536048492407,2.67471923731308,0.557319269466651,4.7992584930228,1.59254143230209e-06,0.000101476034881891,Up-regulated
ENSG00000012048,358.07231410679,1.33344455007502,0.278144118704287,4.79407781939365,1.63424831669641e-06,0.000103370695724225,Up-regulated
ENSG00000107562,41447.1908567093,1.96280818797696,0.40976082685957,4.79013136277579,1.6667216217977e-06,0.000104657996237101,Up-regulated
ENSG00000143891,818.747109978623,1.05824218473746,0.221625630614126,4.77490884878734,1.79788669250464e-06,0.000111275653785556,Up-regulated
ENSG00000077063,560.988848371077,1.07874288359191,0.226208570395029,4.76879758228476,1.85328757722214e-06,0.000113888149051502,Up-regulated
ENSG00000170624,4428.24514525097,1.30691391270577,0.275699149429322,4.74036251258296,2.13336175498025e-06,0.000129714404172532,Up-regulated
ENSG00000109689,2049.59834481206,1.06063716140306,0.224168830686016,4.73142121568474,2.2295334762343e-06,0.000134144892221651,Up-regulated
ENSG00000126785,1380.03794286898,1.07618918776754,0.227681071161023,4.72673983076278,2.28153283597446e-06,0.000136796906290302,Up-regulated
ENSG00000109625,147.03995863561,1.59048550822395,0.337243838103479,4.71612918761743,2.40373841984492e-06,0.000142149846006445,Up-regulated
ENSG00000183963,2146.05528467379,1.10305244000341,0.234459684697123,4.70465718414806,2.54292884923582e-06,0.000149867902281925,Up-regulated
ENSG00000117600,58.3711907264493,2.43881256513841,0.518887500020937,4.70007962234589,2.60060073676424e-06,0.000152227706855746,Up-regulated
ENSG00000112715,3232.18018319264,1.53997552354075,0.328341450600091,4.6901648291016,2.7298505348588e-06,0.000158717370491386,Up-regulated
ENSG00000198795,1594.34494482901,1.03297347351095,0.220817386332058,4.67795353739763,2.89752177596299e-06,0.000166227262549266,Up-regulated
ENSG00000154310,1022.13121374237,1.24726841449394,0.2673267532058,4.66570741437814,3.07557076580073e-06,0.000173558679685774,Up-regulated
ENSG00000145685,3840.35615153138,1.24680039468676,0.269194693138347,4.63159351379188,3.62862036882198e-06,0.00020212585977038,Up-regulated
ENSG00000131080,1988.05043953398,1.00868107883858,0.219148288708141,4.60273308445466,4.16982485574575e-06,0.000227862454458916,Up-regulated
ENSG00000163394,1454.33545820758,2.11787249032903,0.460546720364293,4.59860508539457,4.25329160245634e-06,0.000231690345082701,Up-regulated
ENSG00000123416,1704.56496110461,1.16380300848438,0.254004224477138,4.58182540420357,4.60934665079961e-06,0.000246984986670681,Up-regulated
