baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000120129,5985.45627383304,-2.8828496850257,0.273347076248122,-10.5464807767283,5.27354901081341e-26,5.35668495992506e-23,Not Significant
ENSG00000167549,3519.37192047561,-2.54503525268143,0.247856901455824,-10.2681637579296,9.80531715688817e-25,9.40656759250805e-22,Not Significant
ENSG00000100242,4190.73490627991,-1.90197256850721,0.185414351983432,-10.2579576400708,1.08987403725448e-24,9.9052341449002e-22,Not Significant
ENSG00000004799,1080.07045322976,-3.74141088798437,0.367231572195648,-10.1881514860358,2.23982503468113e-24,1.93386493494369e-21,Not Significant
ENSG00000185432,5300.43498267848,-2.3340372855807,0.229740266655279,-10.159461027713,3.00734286834841e-24,2.47289507860192e-21,Not Significant
ENSG00000198624,3703.39245958169,-3.04418597258336,0.302013934568814,-10.079620918583,6.79879130644498e-24,5.33643310362236e-21,Not Significant
ENSG00000157150,546.426793672929,-3.17757084091423,0.316388598332152,-10.043253320963,9.83749967469301e-24,7.38582366880865e-21,Not Significant
ENSG00000165995,925.931453757624,-3.33699932959132,0.341997179921711,-9.75738843915382,1.71514968436694e-22,1.23405019790201e-19,Not Significant
ENSG00000166741,12454.266468027,-2.12028732940261,0.218786483574577,-9.69112577139566,3.28883275495566e-22,2.27166256050297e-19,Not Significant
ENSG00000221866,643.493401677661,-2.3051124898599,0.237997887824717,-9.68543255122328,3.47733418129855e-22,2.30948487087167e-19,Not Significant
ENSG00000162614,8632.13240643474,-2.14546561605774,0.223806279816154,-9.58626191284775,9.13342162312699e-22,5.84133054030211e-19,Not Significant
ENSG00000253368,751.028848438931,-2.17605973699786,0.229544415388529,-9.4799071165144,2.54509516488479e-21,1.5695965466868e-18,Not Significant
ENSG00000168309,439.044113200956,-4.56950311495498,0.488530358276695,-9.35357043331766,8.47378369906641e-21,4.87750989718263e-18,Not Significant
ENSG00000108960,2805.17150013076,-1.94732501583584,0.209273110535347,-9.30518503239304,1.33759231674798e-20,7.45082068567873e-18,Not Significant
ENSG00000250978,124.758763774466,-6.89838036788445,0.749034130999676,-9.20970097674686,3.27034684274132e-20,1.66095144942521e-17,Not Significant
ENSG00000178723,309.426893424969,-2.87563829535064,0.313881918825402,-9.16152897915163,5.11671301501917e-20,2.52444000981003e-17,Not Significant
ENSG00000145675,6254.16606102117,-1.7012368676125,0.190533874213011,-8.92878956374217,4.30695266157123e-19,2.01006644756789e-16,Not Significant
ENSG00000169715,769.070018699349,-1.91797239106603,0.216869458581687,-8.84390270354087,9.24321069546459e-19,4.09260928946878e-16,Not Significant
ENSG00000157214,5901.84284477874,-1.98007357943595,0.224176130718681,-8.83266908518796,1.02207055264044e-18,4.41227857574878e-16,Not Significant
ENSG00000196616,73801.0436984847,-1.45901008774773,0.16941813763455,-8.61188836165195,7.18668127440724e-18,3.02681981088937e-15,Not Significant
ENSG00000154930,1056.45690549851,-1.95201824232112,0.226864858058815,-8.60432179326365,7.67693243454723e-18,3.15631593523242e-15,Not Significant
